input_text,reply_text
enable the refrigerator,okay turning on the refrigerator.
disable the curtain,"done, curtain is off."
switch on the phone charger,okay turning on the phone charger.
start the cctv camera,sure! activating the cctv camera.
disable the fan,turning off the fan.
disable the curtain,turning off the curtain.
turn on the hydroponic farm motor,"done, hydroponic farm motor is now on."
deactivate the hydroponic farm motor,"done, hydroponic farm motor is off."
deactivate the hydroponic farm motor,turning off the hydroponic farm motor.
start the dim light,"done, dim light is now on."
deactivate the fan,"done, fan is off."
activate the hydroponic farm motor,"done, hydroponic farm motor is now on."
power down the curtain,"done, curtain is off."
deactivate the aquarium filter,turning off the aquarium filter.
disable the refrigerator,"okay, deactivating the refrigerator."
power down the dim light,turning off the dim light.
enable the curtain,"done, curtain is now on."
turn off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
start the fan,sure! activating the fan.
start the aquarium filter,"done, aquarium filter is now on."
activate the phone charger,"done, phone charger is now on."
turn on the cctv camera,sure! activating the cctv camera.
activate the door sensor,sure! activating the door sensor.
switch off the fan,"done, fan is off."
disable the door sensor,"done, door sensor is off."
stop the fan,"okay, deactivating the fan."
disable the fan,"done, fan is off."
switch off the dim light,turning off the dim light.
power down the door sensor,"done, door sensor is off."
deactivate the phone charger,"okay, deactivating the phone charger."
power on the dim light,sure! activating the dim light.
activate the curtain,okay turning on the curtain.
disable the cctv camera,"okay, deactivating the cctv camera."
turn on the aquarium filter,sure! activating the aquarium filter.
turn on the phone charger,okay turning on the phone charger.
activate the curtain,okay turning on the curtain.
turn off the refrigerator,"okay, deactivating the refrigerator."
activate the dim light,sure! activating the dim light.
power down the door sensor,"okay, deactivating the door sensor."
deactivate the dim light,"okay, deactivating the dim light."
turn off the phone charger,turning off the phone charger.
power down the light,"okay, deactivating the light."
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
activate the aquarium filter,okay turning on the aquarium filter.
activate the dim light,"done, dim light is now on."
activate the fan,"done, fan is now on."
switch on the aquarium filter,sure! activating the aquarium filter.
power on the dim light,sure! activating the dim light.
power on the phone charger,okay turning on the phone charger.
turn off the curtain,"okay, deactivating the curtain."
switch off the aquarium filter,"okay, deactivating the aquarium filter."
power down the light,"done, light is off."
deactivate the dim light,"okay, deactivating the dim light."
deactivate the dim light,turning off the dim light.
power on the light,"done, light is now on."
power on the phone charger,"done, phone charger is now on."
disable the hydroponic farm motor,turning off the hydroponic farm motor.
turn on the aquarium filter,okay turning on the aquarium filter.
deactivate the curtain,turning off the curtain.
turn on the aquarium filter,"done, aquarium filter is now on."
power down the cctv camera,"okay, deactivating the cctv camera."
switch on the door sensor,"done, door sensor is now on."
deactivate the light,turning off the light.
turn on the aquarium filter,sure! activating the aquarium filter.
enable the hydroponic farm motor,"done, hydroponic farm motor is now on."
power down the aquarium filter,"okay, deactivating the aquarium filter."
power on the dim light,sure! activating the dim light.
switch off the phone charger,"done, phone charger is off."
deactivate the curtain,turning off the curtain.
stop the light,"okay, deactivating the light."
activate the curtain,"done, curtain is now on."
enable the light,sure! activating the light.
activate the phone charger,okay turning on the phone charger.
deactivate the light,"okay, deactivating the light."
stop the light,"done, light is off."
power down the light,"okay, deactivating the light."
switch on the phone charger,sure! activating the phone charger.
enable the light,okay turning on the light.
turn off the refrigerator,"done, refrigerator is off."
turn off the curtain,turning off the curtain.
power on the cctv camera,sure! activating the cctv camera.
stop the light,turning off the light.
start the cctv camera,"done, cctv camera is now on."
switch on the cctv camera,okay turning on the cctv camera.
activate the aquarium filter,"done, aquarium filter is now on."
enable the fan,sure! activating the fan.
switch on the dim light,okay turning on the dim light.
thanks,anytime!
power on the refrigerator,okay turning on the refrigerator.
stop the light,"okay, deactivating the light."
power on the door sensor,"done, door sensor is now on."
deactivate the curtain,"done, curtain is off."
switch on the curtain,sure! activating the curtain.
switch on the curtain,sure! activating the curtain.
power down the light,"done, light is off."
power on the curtain,sure! activating the curtain.
turn on the curtain,okay turning on the curtain.
deactivate the aquarium filter,"done, aquarium filter is off."
activate the hydroponic farm motor,sure! activating the hydroponic farm motor.
turn off the light,"done, light is off."
disable the hydroponic farm motor,"done, hydroponic farm motor is off."
start the dim light,"done, dim light is now on."
start the dim light,"done, dim light is now on."
turn on the curtain,"done, curtain is now on."
enable the hydroponic farm motor,sure! activating the hydroponic farm motor.
stop the refrigerator,turning off the refrigerator.
start the fan,sure! activating the fan.
stop the cctv camera,"okay, deactivating the cctv camera."
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
activate the dim light,sure! activating the dim light.
power on the fan,okay turning on the fan.
switch off the refrigerator,"okay, deactivating the refrigerator."
power down the phone charger,turning off the phone charger.
enable the aquarium filter,okay turning on the aquarium filter.
start the dim light,okay turning on the dim light.
power on the door sensor,sure! activating the door sensor.
power down the light,turning off the light.
start the door sensor,sure! activating the door sensor.
activate the aquarium filter,"done, aquarium filter is now on."
stop the aquarium filter,"okay, deactivating the aquarium filter."
deactivate the aquarium filter,"okay, deactivating the aquarium filter."
activate the door sensor,"done, door sensor is now on."
deactivate the dim light,turning off the dim light.
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
turn off the door sensor,"okay, deactivating the door sensor."
power down the door sensor,turning off the door sensor.
power down the dim light,"okay, deactivating the dim light."
activate the dim light,sure! activating the dim light.
deactivate the door sensor,turning off the door sensor.
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
turn on the door sensor,sure! activating the door sensor.
switch on the light,sure! activating the light.
